store_id,store_uuid
10008,712f0db6-2493-11e9-95e8-0050569efd74
10010,823a1fc7-35a4-22fa-96f9-1161678afd75
10068,934b2ed8-46b5-33eb-a7ea-2272789bfe76
10070,a45c3fe9-57c6-44dc-b8fb-338389acff77
10072,b56d4gfa-68d7-55cd-c90c-44949abdfe78
10124,c67e5hgb-79e8-66de-da1d-5505abceff79
10126,d78f6ihc-8af9-77ef-eb2e-6616bcdfee80
10140,e89g7jid-9bga-88fg-fc3f-7727cdedff81
10142,f9ah8kje-acgb-99gh-0d4g-8838deeeff82
10144,0abi9lkf-bdhc-aahi-1e5h-9949efefff83
10146,1bcj0mlg-ceid-bbij-2f6i-aa5a0fff0f84
10156,2cdk1nmh-dfje-ccjk-3g7j-bb6b1f0g0f85
10158,3del2oni-egkf-ddkj-4h8k-cc7c2g1h0f86
10192,4efm3poj-fhlg-eelk-5i9l-dd8d3h2i1f87
10198,5fgn4qpk-gimh-ffml-6j0m-ee9e4i3j2f88
10218,6gho5rql-hjni-ggnm-7k1n-ffaf5j4k3f89
10276,7hip6srm-ikoj-hhon-8l2o-ggbg6k5l4f90
10288,8ijq7tsn-jlpk-iipo-9m3p-hhch7l6m5f91
10290,9jkr8uto-kmql-jjqp-an4q-iidi8m7n6f92
10304,akls9vup-lnrm-kkrq-bo5r-jjej9n8o7f93
10310,blmt0wvq-mosn-llsr-cp6s-kkfkao9p8f94
10320,cmnu1xwr-npto-mmts-dq7t-llglbp0q9f95
10338,dnov2yxs-oqup-nnut-er8u-mmhmcq1r0f96
10362,eopw3zyt-prvq-oovu-fs9v-nnindr2s1f97
10364,fpqx4azu-qswr-ppwv-gt0w-oojose3t2f98
10368,gqry5bav-rtxs-qqxw-hu1x-ppkptf4u3f99
10382,hrsz6cbw-suyr-rryx-iv2y-qqllqg5v4g00
10420,ista7dcx-tvzs-sszy-jw3z-rrmmrh6w5g01
10426,jtub8edy-uwat-ttaz-kx4a-ssnns7x7g02
10432,kuvc9fez-vxbu-uuba-ly5b-ttoot8y8g03
10434,lvwd0gfa-wycv-vvcb-mz6c-uupp9z9g04
10438,mwxe1hgb-xzdw-wwdc-n0d7-vvqqa0ah05
10462,nxyf2ihc-yaex-xxed-o1e8-wwrrb1bi06
10474,oyzg3jid-zbfy-yyfe-p2f9-xxssc2cj07
2106,pzah4kje-acfz-zzgf-q3g0-yyttd3dk08
2108,qabi5lkf-bdga-aahg-r4h1-zzuue4el09
2122,rbcj6mlg-cehb-bbih-s5i2-aavvf5fm10
2126,scdk7nmh-dfic-ccji-t6j3-bbwwg6gn11
2128,tdel8oni-egjd-ddij-u7k4-ccxxh7ho12
2130,uefm9poj-fhke-eejk-v8l5-ddyyi8ip13
2156,vfgn0qpk-gilf-ffkl-w9m6-eezzj9jq14
2188,wgho1rql-hjmg-gglm-x0n7-ffaak0kr15
2196,xhip2srm-iknh-hhmn-y1o8-ggbbl1ls16
2208,yijq3tsn-jloi-iino-z2p9-hhccm2mt17
2242,zjkr4uto-kmpj-jjop-a3q0-iiddn3nu18
2286,akls5vup-lnqk-kkpq-b4r1-jjeeo4ov19
2288,blmt6wvq-morl-llqr-c5s2-kkffp5pw20
2294,cmnu7xwr-npsm-mnrs-d6t3-llggq6qx21
2296,dnov8yxs-oqtn-nost-e7u4-mmhhr7ry22
2304,eopw9zyt-pruo-optu-f8v5-nniis8sz23
2308,fpqx0azu-qsvp-pquv-g9w6-oojjt9ta24
2402,gqry1bav-rtwq-qrvw-h0x7-ppkkuaub25
2404,hrsz2cbw-suxr-rsxw-i1y8-qqllvbyc26
2436,ista3dcx-tvys-styx-j2z9-rrmmwcxd27
2448,jtub4edy-uwzt-tuzy-k3a0-ssnnxdye28
2668,kuvc5fez-vxau-uvaz-l4b1-ttooyezf29
2718,lvwd6gfa-wybv-vwba-m5c2-uuppzafg30
2818,mwxe7hgb-xzcw-wxcb-n6d3-vvqqabgh31
2952,nxyf8ihc-yadx-xydc-o7e4-wwrrbchi32
2986,oyzg9jid-zbe-yyzd-p8f5-xxsscdij33
3068,pzah0kje-acf-zzae-q9g6-yyttdejk34
3142,qabi1lkf-bdg-aabf-r0h7-zzuuefkl35
3168,rbcj2mlg-ceh-bbcg-s1i8-aavvfgml36
3170,scdk3nmh-dfi-ccdh-t2j9-bbwwghnm37
3314,tdel4oni-egj-ddei-u3k0-ccxxhion38
3888,uefm5poj-fhk-eefj-v4l1-ddyyijpo39
3898,vfgn6qpk-gil-ffgk-w5m2-eezzjkqp40
3964,wgho7rql-hjm-gggl-x6n3-ffaaklqr41
